Id,timestamp,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_51,rul
asset001,10/07/2018 0:00,2.508681,43.18576,50.13021,44.01041412,634.2593,81.72917,14.03356,16.2037,15.73351,15.08247,43.55506,52.46062,36.04896,9.895199,420.1367,462.327,459.3497,2.511892,664.4619,399.9065,879.0222,534.3044,1089.565,625.833,757.0356,945.9915,504.4995,1039.85,567.8101,676.8519,1006.25,969.9834,544.8404,274.5941,511.5459,581.0709,27.43158,53.64583,49.73958,65.36458,35.67708,33.85416,37.5,33.85417,32.40740585,36.16898,42.53472,95.77546,45.13888931,190.9722,374
asset001,10/07/2018 1:00,2.510648,43.35938,50.30382,44.05382,627.8935,84.10677,14.15654,16.00116,15.61777,15.05353,45.63984,50.29927,35.49387,13.63949,420.8395,464.6189,481.8866,2.770067,667.9275,400.6606,885.1465,536.1341,1091.449,631.3102,762.598,951.6127,514.5145,1049.092,551.3326,681.0185,963.0208,940.3291,509.522,275.8878,537.1443,587.4454,24.76303,45.3125,41.40625,66.40625,30.98958,31.24999809,41.66666,32.99544464,33.56481552,37.32639,38.19444,114.294,46.58564758,212.6736,373
asset001,10/07/2018 2:00,2.508681,43.35938,50.13021,44.66145706,624.7685,84.95834,14.22888,15.87095,15.45139,15.11863,46.87824,51.02149,33.10915,4.28703,420.7002,463.07,492.752,2.882913,665.9698,400.1508,882.4251,535.7184,1093.798,630.0067,761.7372,953.6733,449.5848,1050.156,503.7783,659.2593,1071.354,894.8289,517.5624,279.7253,513.7666,583.713,24.13092,49.47916,34.11458,56.25,34.375,31.51042,37.76041412,39.0625,38.77315,43.98148,45.13889,171.0069,45.42824,179.9769,372
asset001,10/07/2018 3:00,2.50081,43.48958,50,44.70486069,639.4676,88.45572,13.96846,15.95052,15.03906,15.05353,45.40737,51.03659,35.58891,2.797693,420.3544,465.5953,481.955,2.755301,668.6903,399.5827,881.4903,536.9662,1091.807,629.8384,759.3666,948.4164,506.4942,1043.594,541.6202,682.4074,1000.521,974.8714,541.1258,274.8987,533.4927,611.6233,21.07282,51.82291,40.36458,57.03125,35.15625,32.55208,37.5,38.19444,33.2754631,36.45833,47.4537,104.7454,46.2963,173.3218,371
asset001,10/07/2018 4:00,2.498843,43.66319,49.65277,45.18228912,628.9352,89.15125,13.83102,15.91435,15.14757,15.08247,50.92897,50.37452,34.16939,2.755586,420.6864,463.0556,465.6002,2.570796,664.8879,398.8981,878.4176,533.505,1088.94,627.859,750.5728,951.9242,532.539,1055.814,555.9251,678.7037,1016.146,931.9366,517.6937,266.182,509.6189,840.1396,30.68366,57.03125,37.5,51.04166,36.45833,33.85416412,37.5,35.01157,34.72222137,41.66667,42.24537,120.081,45.42824,231.7708,370
asset001,10/07/2018 5:00,2.502778,44.09722137,49.73958,45.57291412,631.5972,83.92374,14.02633,15.90712,15.37182,15.05353,47.67326,48.71786,35.76509,3.068874,420.1356,464.5923,465.7493,2.57829,667.2916,399.7544,883.079,534.4009,1092.702,630.7601,750.2302,950.7156,509.4701,1063.683,550.1337,684.7222,1036.458,945.3726,505.8391,269.9123,514.3882,846.1495,33.98588,50.78125,36.19791,54.94791,33.59375,31.77083,36.97916412,37.61574,35.30093,44.56018,42.24537,126.1574,48.9004631,203.9931,369
asset001,10/07/2018 6:00,2.508681,44.44444,50.17361,45.74652481,625.3472,84.72318,13.80932,16.16753,15.49479,14.74971,44.78055,49.42107,34.6185,2.139957,419.988,462.6042,459.4766,2.509721,667.1229,399.3597,883.8544,533.1468,1091.963,626.4367,752.7774,951.6245,528.3152,1049.858,574.0525,667.1296,929.6874,954.8059,513.874,264.6656,512.7018,829.3365,24.42379,49.73958,41.66666,53.125,33.85416,33.07291,37.5,36.74768,33.85417,36.74768,43.40278,124.1319,50.63657,208.3333,368
asset001,10/07/2018 7:00,2.509664,44.79166,50.52083,45.78992844,632.8704,89.49314,13.83102,15.95775,15.41522,15.11863,42.56325,46.96938,34.09909,3.120774,419.8634,462.1352,458.6744,2.509091,664.3521,400.1132,877.0493,532.3843,1089.268,626.7048,751.9156,950.4022,531.924,1065.814,551.783,706.9445,1001.042,967.6792,534.2192,291.0758,557.3219,843.2443,18.76762,61.45833,36.97916,47.39583,38.28125,34.375,36.71875,34.72222137,35.30092621,37.90509,39.64120483,109.0856,56.13426,214.6991,367
asset001,10/07/2018 8:00,2.509664,45.00868,50.95486069,45.87673569,630.3241,97.0144,13.90336,15.90712,15.33565,15.16927,43.342,51.61716,32.73052,2.237079,420.6429,461.9888,455.3917,2.397218,666.3256,399.2631,882.4415,534.6102,1089.168,625.5101,746.8278,949.2512,528.0962,1050.618,575.0074,662.5,1008.333,950.7563,526.4355,367.412,532.1152,840.6562,11.74215,62.5,47.39583,56.25,37.76041,36.97916,38.02083,43.98148,46.2963,40.50926,45.42824,144.6759,54.97685,189.8148,366
asset001,10/07/2018 9:00,2.504745,45.3993,51.17187,46.00694275,626.2731,89.41352,14.15654,16.12413,15.41522,15.08247,44.94318,49.66557,36.38062,2.332294,419.7769,463.6317,467.3923,2.593776,667.9151,399.8995,883.405,534.4289,1092.32,627.9282,747.5543,948.0897,507.3885,1047.171,559.2301,678.2407,1026.563,946.2367,507.474,363.8127,526.1058,846.5825,25.54164,53.64583,43.48958,70.57291,35.41666,35.41666412,41.92708,39.0625,38.19444275,41.66667,37.90509,105.6134,56.71296,240.7407,365
